time,month,day,hour,storm_id,area,bounds,clon,clat,PS_u,PS_v,tmin,rain_vol,rain_max,tmean,tminlat,tminlon,-32_area,-32_tmean,-32_rain_max,minlat,maxlat,minlon,maxlon,rain_p99,rain_mean,tcw,psfc,q850,q925,ushear650_850,ushear650_925
2006-07-25 20:00:00,7,25,20,13,9004.5,"873,1208,869,515",358.69075000000004,13.20975,-4.785,-0.8400000000000001,199.15581845656658,261615.93516124543,15.819927902213646,211.091183119333,12.91275,350.07775000000004,214475.0,217.92,116.11587955942537,12.56175,13.56075,349.36225,350.63125,15.51814513261526,0.5044129388749425,44.60833310578191,975.7544816830695,0.011818486075772315,0.015791172712889254,-13.036511479591837,-18.568160076530614
2006-07-25 20:00:00,7,25,20,13,67257.0,"873,1208,869,515",358.69075000000004,13.20975,-4.785,-0.8400000000000001,197.00461078063907,261615.93516124543,43.73059299037768,209.2691984491138,13.39875,353.96575,214475.0,217.92,116.11587955942537,12.88575,16.20675,353.08825,356.31475,23.09652982718238,1.6190849119070772,39.039380958087655,977.4032711243142,0.010474318524404449,0.015380781238936648,-7.767857142857143,-15.361926020408163
2006-07-25 20:00:00,7,25,20,13,7103.25,"873,1208,869,515",358.69075000000004,13.20975,-4.785,-0.8400000000000001,199.90481452859723,261615.93516124543,9.104298587106271,210.50519431136735,16.59825,349.45675,214475.0,217.92,116.11587955942537,16.32825,17.30025,349.36225,350.06425,8.156546628576965,0.4646753189233624,40.6175841217146,979.3256017879567,0.012284999010058082,0.012813700344033388,-15.123405612244898,-16.896285076530614
2006-07-25 20:00:00,7,25,20,13,5505.75,"873,1208,869,515",358.69075000000004,13.20975,-4.785,-0.8400000000000001,210.9026176446578,261615.93516124543,4.043607154622507,217.04373238685596,16.84125,351.09025,214475.0,217.92,116.11587955942537,16.63875,17.31375,350.40175,351.42775,2.203555816959864,0.09805023029181006,39.66078398629744,986.5282371042214,0.011800838938477089,0.012189017893860534,-15.040098852040817,-16.010522959183675
2006-07-25 20:00:00,7,25,20,13,110421.0,"873,1208,869,515",358.69075000000004,13.20975,-4.785,-0.8400000000000001,198.07049630502823,261615.93516124543,50.984196664347685,211.9087554984285,13.30425,352.77775,214475.0,217.92,116.11587955942537,12.53475,16.04475,352.08925,356.31475,17.840281826983208,1.0350340227009798,39.58805037371748,972.6647418909656,0.011112670414149761,0.015783357795099824,-9.57453762755102,-16.208187181122447
2006-07-25 21:00:00,7,25,21,13,43218.0,"884,1216,841,521",358.06975,13.29075,-3.33,-0.27,195.1452460393256,242388.089100466,32.47605060846391,208.3764624433113,14.77575,354.87025,218878.0,218.53,57.95981903944504,13.18275,16.16625,353.62825000000004,356.42275,21.92424767173764,1.6691203456220745,45.79836368273221,979.0744986218823,0.013284654337532667,0.014934519742976646,-10.487763073979592,-14.353874362244898
2006-07-25 21:00:00,7,25,21,13,5310.0,"884,1216,841,521",358.06975,13.29075,-3.33,-0.27,199.94088128081236,242388.089100466,15.409305251883081,211.11251842324367,14.087250000000001,354.39775000000003,218878.0,218.53,57.95981903944504,13.83075,14.85675,354.19525,354.89725,7.292463064722387,0.5258282669391612,42.6963004935656,978.3505511725679,0.010653793032528187,0.015154004134998029,-7.928332270408164,-14.169961734693878
2006-07-25 21:00:00,7,25,21,13,5683.5,"884,1216,841,521",358.06975,13.29075,-3.33,-0.27,199.26398059956068,242388.089100466,44.349499790100666,207.72591038165348,14.45175,356.07175,218878.0,218.53,57.95981903944504,14.19525,15.09975,355.78825,356.42275,34.29989275712978,3.9154694275096684,44.47382369772462,971.2953661204359,0.012353293179553382,0.014995875084126482,-9.457868303571429,-14.32601243622449
2006-07-25 21:00:00,7,25,21,13,8743.5,"884,1216,841,521",358.06975,13.29075,-3.33,-0.27,199.15581845656658,242388.089100466,27.868684043382952,211.22517982711264,12.91275,350.07775000000004,218878.0,218.53,57.95981903944504,12.56175,13.56075,349.38925,350.63125,11.401142448607708,0.6265597786226365,44.60833310578191,975.7544816830695,0.011818486075772315,0.015791172712889254,-13.036511479591837,-18.568160076530614
2006-07-25 21:00:00,7,25,21,13,8066.25,"884,1216,841,521",358.06975,13.29075,-3.33,-0.27,203.30176012495392,242388.089100466,5.444147804459124,212.9257950028212,16.53075,349.38925,218878.0,218.53,57.95981903944504,16.11225,17.54325,349.38925,350.01025,3.9416396938183484,0.19741107966714802,41.43535960343529,980.822768344101,0.012375826168121124,0.012891044631144223,-15.196548150510203,-16.997807716836736
2006-07-25 21:00:00,7,25,21,13,101405.25,"884,1216,841,521",358.06975,13.29075,-3.33,-0.27,196.43007721036562,242388.089100466,43.69473958321645,210.55986125519493,13.41225,354.65425,218878.0,218.53,57.95981903944504,12.68325,16.27425,352.56175,356.42275,20.252299083211216,1.204775079026783,38.419648552752456,977.9330511931984,0.009974376735638599,0.015028649142810277,-7.536192602040816,-14.799744897959183
2006-07-25 21:00:00,7,25,21,13,69597.0,"884,1216,841,521",358.06975,13.29075,-3.33,-0.27,197.00461078063907,242388.089100466,44.3852374348074,209.41420281439073,13.39875,353.96575,218878.0,218.53,57.95981903944504,12.88575,16.20675,353.08825,356.42275,21.421040337237446,1.50864944317068,39.039380958087655,977.4032711243142,0.010474318524404449,0.015380781238936648,-7.767857142857143,-15.361926020408163
2006-07-25 21:00:00,7,25,21,13,6918.75,"884,1216,841,521",358.06975,13.29075,-3.33,-0.27,199.90481452859723,242388.089100466,9.71647177722861,210.53895632822815,16.59825,349.45675,218878.0,218.53,57.95981903944504,16.32825,17.30025,349.38925,350.06425,7.390908631151611,0.45552945421928415,40.6175841217146,979.3256017879567,0.012284999010058082,0.012813700344033388,-15.123405612244898,-16.896285076530614
2006-07-25 21:00:00,7,25,21,13,5505.75,"884,1216,841,521",358.06975,13.29075,-3.33,-0.27,210.9026176446578,242388.089100466,3.5746420011547517,217.04373238685596,16.84125,351.09025,218878.0,218.53,57.95981903944504,16.63875,17.31375,350.40175,351.42775,2.8194601175005665,0.10897904931285146,39.66078398629744,986.5282371042214,0.011800838938477089,0.012189017893860534,-15.040098852040817,-16.010522959183675
