time,month,day,hour,storm_id,area,bounds,clon,clat,PS_u,PS_v,tmin,rain_vol,rain_max,tmean,tminlat,tminlon,-32_area,-32_tmean,-32_rain_max,minlat,maxlat,minlon,maxlon,rain_p99,rain_mean,tcw,psfc,q850,q925,ushear650_850,ushear650_925,w500_mean,w500_max,CAPE,CIN,LCL,ICAPE
2006-07-26 16:00:00,7,26,16,7,5517.0,"669,1002,342,263",351.67075,11.69775,-12.855,-4.08,202.773576959036,87219.16010479684,13.75028788029396,213.62608212784576,10.64475,353.20975,33007.0,217.53,63.34043732084769,10.15875,10.90125,352.54825,353.50675,12.731314253045168,1.631266120795675,47.38329047161903,972.381142696653,0.0130194585618315,0.0153648129341249,-9.90314094387755,-13.085419323979592,0.31050701530612246,13.875,806.7678246600309,0.0,879.2768310298623,327482.32941536437
2006-07-26 16:00:00,7,26,16,7,39404.25,"669,1002,342,263",351.67075,11.69775,-12.855,-4.08,195.46913180255223,87219.16010479684,54.85931760257215,208.57194658952452,13.15575,351.42775,33007.0,217.53,63.34043732084769,10.86075,13.46625,350.26675,353.35825,39.80612217784815,3.257347367667119,50.40656063072551,969.1282363831266,0.0134325843798566,0.016833495481738,-12.705117984693878,-17.980707908163264,0.3947704081632653,9.375,1845.5021731037186,-6.068874301208156,903.0036563336397,235155.73051780305
2006-07-26 16:00:00,7,26,16,7,5640.75,"669,1002,342,263",351.67075,11.69775,-12.855,-4.08,201.36814639614732,87219.16010479684,23.267779015925782,213.2373871772469,13.65525,353.43925,33007.0,217.53,63.34043732084769,12.98025,13.65525,352.68325,353.53375,17.934396590946683,0.9363099566511764,48.7266143235376,978.4512210308776,0.0103197638325545,0.0153309271613858,-17.29428411989796,-23.27527104591837,-0.0024314413265306123,1.125,198.54589566321098,-91.62264679564893,885.772443496016,168278.50348925087
2006-07-26 16:00:00,7,26,16,7,47574.0,"669,1002,342,263",351.67075,11.69775,-12.855,-4.08,198.1432388920678,87219.16010479684,29.688866989630867,214.01880102941328,13.19625,351.17125,33007.0,217.53,63.34043732084769,10.33425,13.65525,349.98325,351.68425,24.878516188410988,0.8953099881178602,49.8255319602774,969.7628939722024,0.0131321067408639,0.0165362238161722,-12.097257653061224,-17.133569834183675,0.42271205357142855,13.75,1582.003597900781,-5.992941844512238,907.5220116360863,201580.4788354716
2006-07-26 16:00:00,7,26,16,7,19458.0,"669,1002,342,263",351.67075,11.69775,-12.855,-4.08,200.14553728447103,87219.16010479684,16.102988553596592,214.56030467120615,10.98225,352.64275000000004,33007.0,217.53,63.34043732084769,9.92925,11.85975,351.76525000000004,353.25025,8.566034427391397,0.4453607851153623,45.21315198524145,971.620244034164,0.0131640938889919,0.0158074248620137,-9.439572704081632,-14.049027423469388,-0.6776945153061225,31.0,917.7938477184334,0.0,884.6685285831968,380755.0444031358
2006-07-26 16:00:00,7,26,16,7,39687.75,"669,1002,342,263",351.67075,11.69775,-12.855,-4.08,194.9325424260524,87219.16010479684,42.86873953423054,203.42667007777877,12.18375,350.86075,33007.0,217.53,63.34043732084769,11.15775,13.38525,349.98325,352.15675,38.77587339722003,3.1431923850964387,47.25973219663026,969.4578872221344,0.0133481665457389,0.0160142889208331,-10.403898278061224,-14.74007493622449,-3.764628507653061,25.375,,,,
2006-07-26 16:00:00,7,26,16,7,14942.25,"669,1002,342,263",351.67075,11.69775,-12.855,-4.08,200.2955267608217,87219.16010479684,5.330679724399275e-06,212.0940140410326,12.84525,351.02275000000003,33007.0,217.53,63.34043732084769,11.57625,13.65525,350.37475,351.57625,4.34051204180737e-06,8.81478990334531e-08,48.85907979129487,966.8880768748692,0.0131069222008999,0.0164029408930515,-10.985411352040815,-15.76383131377551,-1.4580676020408163,22.875,,,,
2006-07-26 16:00:00,7,26,16,7,9380.25,"669,1002,342,263",351.67075,11.69775,-12.855,-4.08,205.81638488229825,87219.16010479684,5.1167732564350345e-08,213.4543030483584,12.80475,350.95525000000004,33007.0,217.53,63.34043732084769,12.19725,13.46625,350.10475,351.21175,1.8939196053055963e-09,4.806232762011927e-10,48.72916314311087,967.098964063878,0.0130304163131786,0.0163327659271201,-10.837492028061224,-15.375438456632653,-1.5995695153061225,22.875,,,,
2006-07-26 16:00:00,7,26,16,7,13027.5,"669,1002,342,263",351.67075,11.69775,-12.855,-4.08,203.3102284663049,87219.16010479684,50.95788091633904,214.45640572294343,10.22625,350.90125,33007.0,217.53,63.34043732084769,9.57825,11.09025,350.40175,351.57625,47.189172918176,7.0976601692856045,40.400614954266,965.5608318463152,0.0124669622211736,0.0150273033056636,-6.317123724489796,-11.423628826530612,0.006816007653061225,1.125,425.7063302882136,-7.406405096090824,881.0176657348021,186287.19081293346
2006-07-26 16:00:00,7,26,16,28,9438.75,"905,1324,173,172",353.38525,16.76025,-1.815,0.06,211.10544720798504,63588.33519589441,18.79288454750224,217.93464607828648,14.01975,357.32725,18892.0,211.44,61.288717971037656,13.42575,14.34375,356.88175,357.88075000000003,6.73988311125366,0.469545286361437,50.89163123092235,979.29777921229,0.0114143700433933,0.0149930322124641,-13.54783163265306,-16.73046875,0.053611288265306124,3.25,590.038032368112,-34.30845604402284,864.429482139594,248793.71374142662
