time,month,day,hour,storm_id,area,bounds,clon,clat,PS_u,PS_v,tmin,rain_vol,rain_max,tmean,tminlat,tminlon,-32_area,-32_tmean,-32_rain_max,minlat,maxlat,minlon,maxlon,rain_p99,rain_mean,tcw,psfc,q850,q925,ushear650_850,ushear650_925
2006-07-25 16:00:00,7,25,16,50,5573.25,"1045,1128,47,51",354.42475,14.89725,-32.88,1.44,199.92679605093787,7457.881599058862,5.924221704914539,205.6046172084172,14.64075,354.96475000000004,1554.0,220.05,32.44685620459385,14.11425,14.74875,354.54625,355.23475,5.219626218452574,0.5223540098434818,45.268595659894395,978.9357024679379,0.013393154633896691,0.014673042966395008,-10.005620216836734,-13.08350605867347
2006-07-25 17:00:00,7,25,17,50,5352.75,"977,1144,135,156",354.19525,14.51925,-22.200000000000003,0.735,200.82342058232436,13772.649335767192,9.906044648478147,209.46464510237246,14.51925,354.15475000000004,8921.0,216.29,31.33617011707664,14.41125,15.01875,353.34475000000003,354.43825000000004,9.70172020804053,1.303714218711294,46.14386775264461,978.636524438858,0.012997378462127276,0.014779898090934267,-12.836296237244898,-17.035315688775512
2006-07-25 17:00:00,7,25,17,13,7686.0,"1140,1228,742,539",361.56625,12.73725,-8.67,-1.545,203.97537389892645,232289.59914186056,15.45380361831558,213.7809203040211,15.39675,355.57225,148083.0,219.24,52.750986357464754,15.39675,16.11225,355.08625,356.39575,10.58727445060817,1.4287958701234018,45.852677638871164,979.376457403144,0.01257770305157316,0.013735435237841946,-11.844945790816327,-14.474091198979592
2006-07-25 17:00:00,7,25,17,13,8556.75,"1140,1228,742,539",361.56625,12.73725,-8.67,-1.545,206.3559574876543,232289.59914186056,14.606396665342759,216.29319677799165,15.39675,355.23475,148083.0,219.24,52.750986357464754,15.39675,16.09875,354.72175,356.11225,13.33124139640721,0.8222595907422149,46.11469596231612,979.1895229164434,0.012899915687739849,0.013732118475041827,-12.858697385204081,-15.791573660714286
2006-07-25 17:00:00,7,25,17,13,5877.0,"1140,1228,742,539",361.56625,12.73725,-8.67,-1.545,198.12073200415398,232289.59914186056,9.666264321599604,207.55523120450417,16.32825,349.32175,148083.0,219.24,52.750986357464754,15.88275,17.19225,349.30825,349.82125,9.562270119244994,0.7609564237891683,42.918355156639585,983.254059793122,0.012151413540146788,0.012334478905006331,-15.364397321428571,-16.268734056122447
2006-07-25 17:00:00,7,25,17,50,42772.5,"977,1144,135,156",354.19525,14.51925,-22.200000000000003,0.735,195.9778019091841,13772.649335767192,44.50021020120148,205.51783506236987,13.34475,354.84325,8921.0,216.29,31.33617011707664,13.196250000000001,15.01875,353.34475000000003,355.45075,23.58045174468065,1.3529518557734752,38.77645363606544,977.8145929313192,0.010667666659823485,0.01505327620068375,-8.529017857142858,-15.404735331632653
2006-07-25 17:00:00,7,25,17,50,24232.5,"977,1144,135,156",354.19525,14.51925,-22.200000000000003,0.735,194.42922706291236,13772.649335767192,44.80685905059008,203.8386017496912,13.37175,354.08725000000004,8921.0,216.29,31.33617011707664,13.196250000000001,15.01875,353.34475000000003,354.93775,31.65855739621813,1.9059973451513292,38.87248464708244,977.5654314305831,0.01021470089576074,0.015451195459736854,-7.495296556122449,-15.284956951530612
2006-07-25 17:00:00,7,25,17,50,20772.0,"977,1144,135,156",354.19525,14.51925,-22.200000000000003,0.735,194.75551270830135,13772.649335767192,49.552570240179314,206.83764018218554,13.43925,354.31675,8921.0,216.29,31.33617011707664,13.196250000000001,15.01875,353.34475000000003,354.96475000000004,31.851548757664073,2.2570604891468924,38.63033657516052,977.8370903042384,0.00989825862022687,0.015214219879435033,-7.196667729591836,-14.797712053571429
2006-07-25 17:00:00,7,25,17,13,5886.0,"1140,1228,742,539",361.56625,12.73725,-8.67,-1.545,204.45188314638455,232289.59914186056,20.404281204210253,213.65167382443764,15.45075,355.97725,148083.0,219.24,52.750986357464754,15.39675,16.03125,355.41025,356.50375,17.278042006213102,1.9373102272803346,44.682617132583104,978.7976754256656,0.011345007989023412,0.01364462328504543,-12.131696428571429,-16.053531568877553
2006-07-25 17:00:00,7,25,17,13,7823.25,"1140,1228,742,539",361.56625,12.73725,-8.67,-1.545,205.58575050022415,232289.59914186056,3.281564596215988,210.21722235793217,16.23375,349.82125,148083.0,219.24,52.750986357464754,15.92325,17.46225,349.30825,349.87525,2.5533953488283685,0.24293359600317893,43.33269784672288,986.4038098389761,0.011916026929203344,0.012177954712996677,-13.754902742346939,-14.450175382653061
2006-07-25 17:00:00,7,25,17,50,9702.0,"977,1144,135,156",354.19525,14.51925,-22.200000000000003,0.735,195.9155559313587,13772.649335767192,12.413150739192613,207.32894012758348,14.50575,355.08625,8921.0,216.29,31.33617011707664,13.96575,15.01875,354.34375,355.45075,9.690181534911376,0.7804360485636648,44.19363009378663,978.9422807580597,0.013082785835983803,0.014671437879454116,-9.211336096938776,-12.466517857142858
2006-07-25 17:00:00,7,25,17,50,47664.0,"977,1144,135,156",354.19525,14.51925,-22.200000000000003,0.735,196.65863484874285,13772.649335767192,35.93738017621823,211.58294874676145,13.45275,355.34275,8921.0,216.29,31.33617011707664,13.196250000000001,15.01875,353.34475000000003,355.45075,5.728681878669803,0.5780860468460829,39.90772636946274,977.1258592247477,0.010922482484305392,0.014848212255355047,-10.798947704081632,-17.064532844387756
