time,month,day,hour,storm_id,area,bounds,clon,clat,PS_u,PS_v,tmin,rain_vol,rain_max,tmean,tminlat,tminlon
2006-08-17 17:00:00,8,17,17,35,4986.0,"2041,736,121,78",368.32975,9.42975,1.485,-3.18,199.89,15986.270022180935,76.80761343264851,219.49,9.33525,368.53225000000003
2006-08-17 17:00:00,8,17,17,4,14832.0,"1713,460,161,149",364.18525,5.23125,-1.455,-1.32,218.9,14886.58841175816,33.96282500478824,232.24,5.08275,363.88825
2006-08-17 17:00:00,8,17,17,27,21021.0,"2769,1009,200,165",378.71125,12.588750000000001,-30.09,3.735,204.53,3294.45645253156,20.62256422307973,220.64,12.50775,378.37375000000003
2006-08-17 17:00:00,8,17,17,36,2125.0,"3108,1034,88,42",382.53175,13.69575,-26.04,-0.0,219.85,66.04094595637713,0.3163363179032209,230.4,13.68225,382.39675
2006-08-17 17:00:00,8,17,17,44,1220,"2201,1025,57,33",370.12525,13.58775,-1.92,1.785,200.39,3315.69658565552,23.002323380264954,222.47,13.60125,370.23325
2006-08-17 17:00:00,8,17,17,26,68940.0,"2126,587,468,276",371.66425000000004,6.2707500000000005,-6.855,-0.255,195.44,194519.29693588,89.44384849942487,218.09,5.42025,372.15025
2006-08-17 17:00:00,8,17,17,41,3518.0,"1848,1132,84,65",365.56225,14.85675,-1.095,-1.95,206.62,8982.658638386756,22.36913687737735,219.22,14.87025,365.60275
2006-08-17 17:00:00,8,17,17,38,1599.0,"883,583,48,42",352.25125,7.58025,1.005,0.39,212.16,5380.92722420096,40.24596895482891,222.31,7.62075,352.21075
2006-08-17 17:00:00,8,17,17,13,871.0,"2518,825,62,22",374.45875,11.00925,-46.32,7.005,213.09,61.84934388550063,0.7786702711340711,227.16,11.03625,374.48575
2006-08-17 17:00:00,8,17,17,40,5536.0,"2155,950,114,64",369.88225,12.41325,3.99,1.59,194.12,3913.073801554761,14.04804921746442,210.52,12.17025,370.20625
2006-08-17 17:00:00,8,17,17,42,10490,"2533,398,212,136",375.49825,4.39425,-1.365,0.93,218.47,4041.879194651001,31.79922236867439,234.11,4.6777500000000005,375.17425000000003
2006-08-17 17:00:00,8,17,17,43,683,"679,695,38,26",349.42975,9.213750000000001,1.005,1.155,205.26,9.018440678074498,0.0004480305787347,223.16,9.26775,349.40275
2006-08-17 17:00:00,8,17,17,17,2063.0,"440,531,61,66",346.36525,6.77025,-8.535,-1.02,228.44,59.19042387635561,1.2187380375747048,234.24,6.85125,346.25725
2006-08-17 17:00:00,8,17,17,31,2714.0,"2776,796,109,46",378.19825000000003,10.42875,-12.315,1.215,221.82,0.0,0.0,231.92,10.617750000000001,377.98225
2006-08-17 17:00:00,8,17,17,39,2703.0,"2092,806,124,38",369.12625,10.617750000000001,2.34,-8.82,200.92,1736.378392684785,20.531976032165385,220.05,10.63125,369.62575000000004
2006-08-17 17:00:00,8,17,17,5,35009.0,"155,767,325,250",344.56975,8.74125,-3.69,-0.6900000000000001,201.99,46622.49619659476,57.33713660815631,229.34,9.83475,344.16475
2006-08-17 17:00:00,8,17,17,20,3294.0,"2662,64,109,52",376.69975,0.5467500000000001,-1.485,-6.720000000000001,222.82,0.0,0.0,231.03,0.42524999999999996,376.96975000000003
